id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
r22OfzZ3kXooSPoE5HMuZQ==,Almagro,1,1,40,37,92294,Departamento
atZQXVtyfG7+OiX6gYY3lA==,Almagro,1,1,49,44,115000,Departamento
Tur/v/qE41UBT83NM/bI7w==,Almagro,1,1,40,37,88900,Departamento
PNtNl6sWjHEyRPQAeRAIgw==,Almagro,1,1,40,37,88798,Departamento
Lhg4dNG9VmPbHt0Swy2ATA==,Almagro,1,1,49,44,110975,Departamento
oeLhuwomY2yj4A9TtDrgCA==,Almagro,1,1,40,37,99000,Departamento
FmtrGFKvbW1cAmPdOafxbA==,Almagro,1,1,40,37,96984,Departamento
QohS/eOYCforD1lMAO5xWQ==,Palermo,1,1,40,34,99500,Departamento
WEJo+0VJA9h/9SSarNFwHw==,Palermo,1,1,36,33,121600,Departamento
ByY9fh3StPKq4zCRtWeNCg==,Palermo,3,2,90,90,285000,Departamento
MbPmZ9H7zmQO/0PM3bGorA==,Palermo,1,1,54,48,140000,Departamento
ep41mLAb7DbaEaQO463jmw==,Palermo,2,1,40,40,110000,Departamento
jHVNdA+pFvFgvIvElqYQrA==,Palermo,1,1,40,34,96000,Departamento
HchjBwJ7xoMsyPu7+wr2Hw==,Caballito,1,1,40,36,152732,Departamento
VI36xWzkGnmQ8BPj2b2LZQ==,Villa Crespo,1,1,36,33,108000,Departamento
uYtlstOiGwrzC+Bveem70Q==,Villa Crespo,1,1,38,34,94800,Departamento
V1Z1MLnb0ltAf1avbmeW+w==,Villa Urquiza,1,1,32,29,88000,Departamento
R+yVbxakCV5KnTARJerZww==,Villa Urquiza,2,2,75,68,225000,Departamento
sprmySwo754xn5V+RkBBVw==,Barracas,1,1,31,28,85000,Departamento
Mo/Af6jdZOEsC6b5QtV3cw==,Nuñez,2,1,53,50,185000,Departamento
8jXXQO6vP2Trmp9DX1iBYA==,Nuñez,2,1,39,34,140000,Departamento
G+Rok4yOkjcUejO48VCcBA==,Almagro,2,1,42,38,98000,Departamento
TdTtpCtAKR2BagYNrrxOUg==,Almagro,2,1,52,48,159900,Departamento
S2MxRAoASTXupDp0VdgDfQ==,Palermo,2,1,32,32,87000,Departamento
yate1fvhuba8D8kxaNWltg==,Palermo,2,1,64,60,178000,Departamento
QxXxWHp25E4ksUtvpkiePw==,Palermo,2,1,55,50,310000,Departamento
wi29s49GvQWGXB3I7QvrYQ==,Palermo,2,1,50,44,172000,Departamento
vIVCVWLoEa8wKYNDhlcXKw==,Palermo,2,2,83,54,208000,Departamento
thCXWtJ5gbZOCoMNE0jkdQ==,Belgrano,2,1,53,50,185000,Departamento
QEGEf62YYZqbP6yRTMXsnA==,Floresta,2,1,41,38,83000,Departamento
Cr+hCh8RdP3I39qFpz0MOA==,Recoleta,2,1,29,29,134000,Departamento
O6YsUCBM8sj80TPJ7ErNjw==,Colegiales,2,1,39,34,85000,Departamento
vgPwaTNV4Fezv42N+1YGhw==,Colegiales,2,1,38,38,105000,Departamento
ppWUrkA4lzK27AjOi8k1hw==,Parque Chas,2,1,50,47,165000,Departamento
2eLI6UgDf48sgIHX98wpEQ==,Barrio Norte,2,1,31,31,90000,Departamento
NaLx1/5fRIlFR5kI2P5qQw==,Villa Crespo,2,1,43,40,119000,Departamento
UUGtuKi/qEPj8JHOFwJ0qQ==,Villa Devoto,2,1,84,57,192000,Departamento
XkQymYb0giuTKwXIxRbytg==,Villa Devoto,2,1,62,40,140000,Departamento
f/NSvuwaksUCsaKdfe8ACw==,Villa Ortuzar,2,1,50,47,165000,Departamento
7UXo+onsdpkUg5jI+A0P6g==,Villa Urquiza,2,1,45,45,169000,Departamento
z1Dep3l4mLOPDZxzqa0FZA==,Velez Sarsfield,2,1,41,38,83000,Departamento
SITpzoQihKPsWmzXoEzcJQ==,Parque Chacabuco,2,1,48,40,105000,Departamento
Te7H8MxLdk10pveAHmts4w==,Parque Chacabuco,2,1,42,34,86000,Departamento
3NJlzXCa62ivgtmDKb57gA==,Parque Chacabuco,2,1,49,36,79000,Departamento
2dldva0CCHoFHYEneiuJyA==,Villa Pueyrredón,2,1,63,48,150000,Departamento
6gEiYHixlokPDGKXZwrnZw==,Palermo,3,2,100,100,315000,PH
/gZQ/vCMj6d4j2D+vZ93Cg==,Barracas,3,1,83,73,115000,PH
4r6rMtagstjoQKMrKM1SAw==,Caballito,3,1,100,91,180000,PH
AECYl0Y5LQKq8ZNukc4sOQ==,Villa Real,3,2,110,77,190000,PH
6Suswh0odgqlYe91I9d7Xg==,Villa Crespo,3,1,68,68,175000,PH
0ayw1olLgKZkiUsruvWs8A==,Once,3,1,84,56,130000,Departamento
2ONl7kHfo3NLMIlGRMxVfQ==,Flores,3,2,83,58,209000,Departamento
E28xyXtZGiDhmN9vBADtAw==,Palermo,3,1,78,63,270000,Departamento
+Vo+Xo+UFXwV7xKTom7snw==,Palermo,3,1,70,66,194500,Departamento
Ujy5XPD0X6QyZZzWYHAKYg==,Palermo,3,2,75,62,255000,Departamento
qQAGPy/bzJX2fkR6hw48SQ==,Belgrano,3,4,113,103,439000,Departamento
SmTqC7XPHVcEbjjHa5gz1A==,Belgrano,3,3,157,101,729000,Departamento
EDHsXgcSpO8zGYAVYF9Yxg==,Recoleta,3,1,92,80,350000,Departamento
P9DPzwb1HdhVmTWYrYgpng==,Caballito,3,1,100,91,180000,Departamento
8AFft8g8czHQDo+fACC72g==,Caballito,3,1,50,49,150000,Departamento
iyxBQuGbouDG88fKUrIhMg==,Caballito,3,1,53,53,128000,Departamento
kilw8xF0bImT21KR5PzBeQ==,San Telmo,3,1,67,56,150000,Departamento
pqE1IQmRV8By+htaLzU1og==,Colegiales,3,2,70,56,185000,Departamento
emLu0SjadfNOrKknljuOZA==,Las Cañitas,3,4,113,103,439000,Departamento
0E/k7zoMi5m+yPIZ2hJNew==,Villa Crespo,3,1,58,56,128000,Departamento
pEKq0Ey8dHTLh7SbQrW+xA==,Villa Crespo,3,1,70,70,125000,Departamento
eg2hzsZH+m7pePERoR1dGA==,Parque Chacabuco,2,1,45,38,101000,Departamento
W4AEUZOijbFAE+cirhZtrg==,Villa Santa Rita,3,1,97,72,225000,Departamento
EF0Ma+vfFIRaeOYaeHGGdA==,Flores,4,1,150,112,245000,PH
lC5YlQ8awXMqCd5iEYCtrA==,Villa Ortuzar,4,1,80,74,200000,PH
4I7PFymizibjGjlz8GESiA==,Villa del Parque,4,3,184,178,385000,Casa
